"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
enr_occupation,enrollment,,radio,Occupation,"1, Civil Servant | 2, Public Servant | 3, Business | 4, Farmer | 5, Student | 6, Military / paramilitary | 7, Artisan | 8, Trader | 9, Unemployed | 10, Other",,,,,,,,,,,,
enr_edu,enrollment,,radio,"Highest Level of Education Completed","0, No formal education | 1, Primary | 2, Secondary | 3, Tertiary",,,,,,,,,,,,
enr_income_y,enrollment,,radio,"Would you be able to provide your income for the last 12 months?","1, Yes | 2, I don't know / not sure | 3, Decline to respond",,,,,,,,,,,,
enr_income,enrollment,,radio,"What is your estimated total annual combined family income in Nigeria Naira for your household for the past 12 months?","1, Below N100,000 per annum | 2, N100,000-N1,000,000 per annum | 3, Above N1,000,000 per annum",,,,,,"[enr_income_y] = '1'",,,,,,
enr_hcc_hepb_y,enrollment,"Risk Factors for HCC",radio,"Viral Hepatitis B co-infection?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hcc_hepc_y,enrollment,,radio,"Viral Hepatitis C co-infection?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hcc_herbaldrug_y,enrollment,,radio,"Current Herbal Drug Use?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hcc_tobacco_y,enrollment,,radio,"Current tobacco use?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_packyr,enrollment,,text,"Pack-year history",,"Enter numbers only",number,0,,,"[enr_hcc_tobacco_y] = '1'",,RH,,,,
enr_hcc_alcohol_y,enrollment,,radio,"Current alcohol use?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_alcohol_qty,enrollment,,text,"Alcohol quantity in grams",,"Enter numbers only",number,0,,,"[enr_hcc_alcohol_y] = '1'",,RH,,,,
enr_alcohol_yrs,enrollment,,text,"Alcohol duration in years",,"Enter numbers only",number,0,,,"[enr_hcc_alcohol_y] = '1'",,RH,,,,
enr_hcc_hccfhx_y,enrollment,,radio,"Family history of HCC?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hccfhx_rel,enrollment,,checkbox,"If yes, relationship","1, Mother | 2, Father | 3, Sibling | 4, Other",,,,,,"[enr_hcc_hccfhx_y] = '1'",,RH,,,,
enr_hcc_alcliver_y,enrollment,,radio,"Alcoholic liver disease?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hcc_fattyliver_y,enrollment,,radio,"Non-alcoholic fatty liver disease?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_liverdis_other,enrollment,,text,"Other liver disease",,,,,,,,,RH,,,,
enr_hiv_msm_y,enrollment,"Risk Factors for HIV, HCV, and HBV Acquisition",radio,MSM?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_idu_y,enrollment,,radio,"Current or past IV Drug Use?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_nmdu_y,enrollment,,radio,"Current or past non-medical drug use?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_hemophilia_y,enrollment,,radio,Hemophilia?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_transfusion_y,enrollment,,radio,"Blood transfusion?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_highrisksex_y,enrollment,,radio,"High-risk sexual behavior (non MSM)?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_iatrogenic_y,enrollment,,radio,Iatrogenic?,"1, Yes | 0, No | 2, Unknown","i.e. scarification",,,,,,,RH,,,,
enr_hiv_prenatal_y,enrollment,,radio,"Prenatally acquired?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_hcexp_y,enrollment,,radio,"Health care exposure?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_hiv_other,enrollment,,text,"Other HIV, HBV, HCV risks:",,,,,,,,,RH,,,,
enr_liver_hepbimm,enrollment,"Hepatitis Immunizations",radio,"Hepatitis B Immunization series administered?","1, Complete | 0, Incomplete | 2, Not sure",,,,,,,,RH,,,,
enr_liver_hepaimm,enrollment,,radio,"Hepatitis A Immunization series administered?","1, Complete | 0, Incomplete | 2, Not sure",,,,,,,,RH,,,,
enr_comorbid_ckd_y,enrollment,"Co-Morbid Medical Conditions",radio,"Chronic kidney disease?

GFR<60 for >= 30 months","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_renaltx_y,enrollment,,radio,"Renal replacement therapy?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_cad_y,enrollment,,radio,"Coronary artery disease?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_hyperlipid_y,enrollment,,radio,Dyslipidemia?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_obese_y,enrollment,,radio,Obesity?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_lung_y,enrollment,,radio,"Chronic lung disease/condition?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_dm_y,enrollment,,radio,"Diabetes mellitus?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_malig_y,enrollment,,radio,"Malignancy other than HCC?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
enr_comorbid_malig_type,enrollment,,text,"Malignancy type?",,,,,,,"[enr_comorbid_malig_y] = '1'",,RH,,,,
hiv_text_1,hiv_diagnosis,,descriptive,"Please fill the following questions at the time (baseline or subsequent visit) a patient is diagnosed with HIV.",,,,,,,,,,,,,
hiv_year,hiv_diagnosis,,text,"Year of HIV diagnosis",,,integer,1920,2025,,,,,,,,
hiv_rna_pre_tx,hiv_diagnosis,,text,"Pre-treatment/baseline HIV RNA",,,number,,150000000,,,,,,,,
hiv_cd4_initial,hiv_diagnosis,,text,"Pre-ART CD4 T-Cell Count",,,number,0,1500,,,,,,,,
hiv_aids_y,hiv_diagnosis,,radio,"AIDS Diagnosis","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_who,hiv_diagnosis,,radio,"Pre-ART WHO Stage","1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,RH,,,,
hiv_prioroi_y,hiv_diagnosis,,radio,"Prior Opportunistic Infections","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_text_2,hiv_diagnosis,,descriptive,"OI/AIDS Defining Illness(es)",,,,,,,,,,,,,
hiv_pjp_y,hiv_diagnosis,,radio,PJP,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_mac_y,hiv_diagnosis,,radio,MAC,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_cmv_y,hiv_diagnosis,,radio,CMV,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_pml_y,hiv_diagnosis,,radio,PML,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_candida_y,hiv_diagnosis,,radio,Candidiasis,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_crypto_y,hiv_diagnosis,,radio,Cryptococcosis,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_nhl_y,hiv_diagnosis,,radio,"Non-Hodgkins Lymphoma","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_ks_y,hiv_diagnosis,,radio,"Kaposis Sarcoma","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hiv_ade_other,hiv_diagnosis,,text,"Other ADE",,,,,,,,,RH,,,,
hcc_text_1,hcc_diagnosis,,descriptive,"Please fill the following questions at the time (baseline or subsequent visit) a patient is diagnosed with HCC.",,,,,,,,,,,,,
hcc_diag_d,hcc_diagnosis,,text,"Date of HCC Diagnosis",,,date_ymd,,,,,y,,,,,
hcc_us,hcc_diagnosis,,checkbox,"Liver Ultrasound Findings","0, Liver lesion | 1, Cirrhosis | 2, Steatosis | 3, Ascites | 4, Splenomegaly | 5, HCC | 6, PVT - Portal Vein Thrombosis | 99, Other please specify",,,,,,,,,,,,
hcc_us_oth,hcc_diagnosis,,text,"Ultrasound Other",,,,,,,"[hcc_us(99)] = '1'",,,,,,
hcc_ct_cirr_y,hcc_diagnosis,"CT FIndings",radio,Cirrhosis?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_ct_stea_y,hcc_diagnosis,,radio,Steatosis?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_ct_asc_y,hcc_diagnosis,,radio,Ascites?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_ct_spl_y,hcc_diagnosis,,radio,Splenomegaly?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_ct_var_y,hcc_diagnosis,,radio,Varicies?,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_ct_liversize,hcc_diagnosis,,text,"Liver size",,"in cm",number,3,30,,,,RH,,,,
hcc_ct_livercontour,hcc_diagnosis,,radio,"Liver contour","0, Regular | 2, Irregular",,,,,,,,RH,,,,
hcc_massdiam,hcc_diagnosis,,text,"Liver mass diameter (largest lesion)",,"in cm",number,0,,,,,RH,,,,
hcc_massnum,hcc_diagnosis,,text,"Number of lesions",,,integer,0,,,,,RH,,,,
hcc_massburden50,hcc_diagnosis,,radio,"Total tumor burden","0, Less than 50% | 1, More than 50%",,,,,,,,RH,,,,
hcc_artwashout_y,hcc_diagnosis,,radio,"Arterial enhancement with washout?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_pvinvasion_y,hcc_diagnosis,,radio,"Portal vein invasion?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_pvthrombosis_y,hcc_diagnosis,,radio,"Portal Vein thrombosis?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
hcc_ct_oth,hcc_diagnosis,,text,"CT Findings Other",,,,,,,,,,,,,
hcc_livbiop_text,hcc_diagnosis,"Liver Biopsy",notes,"Liver biopsy results",,,,,,,,,RH,,,,
hcc_bclc,hcc_diagnosis,"Staging at Diagnosis",radio,"BCLC Stage","0, Stage 0 means the tumour is less than 2 cm, the person feels well (PS 0) and the liver is working normally (Child-Pugh A) | 1, Stage A means there is a single tumour less than 5 cm, or up to 3 tumours all less than 3cm. The person feels well and is active (PS 0) and the liver is working well (Child-Pugh A or B) | 2, Stage B means there are many tumours in the liver, but the person feels well (PS 0) and the liver is working well (Child-Pugh A or B) | 3, Stage C means the cancer has spread into the blood vessels, lymph nodes or other body organs. Or the person does not feel well (PS 1 or 2). The liver is still working (Child-Pugh A or B) | 4, Stage D means there is severe liver damage (Child-Pugh C) or the person is not well and needs help in being looked after (PS 3 or 4)",,,,,,,,LV,,,,
visit_intro_text,visit,,descriptive,"Please fill this form once at enrollment and then at every subsequent visit.

If this is filled as part of Aim 1 -- Only one visit
If this is filled as part of Aim 2 -- Multiple visits
If this is filled as part of Aim 3 -- Multiple visits",,,,,,,,,,,,,
visit_d,visit,,text,"Visit date",,,date_ymd,2018-01-01,,,,y,,,,,
visit_hiv_y,visit,,radio,"Is the patient HIV positive at time of Visit ","1, Yes | 0, No","This question is repeated in every visit form",,,,,,y,RH,,,,
visit_hiv_text,visit,,descriptive,"If the patient has an HIV diagnosis, please make sure that the HIV diagnosis and visit questions are filled",,,,,,,"[visit_hiv_y] = '1'",,,,,,
visit_hcc_y,visit,,radio,"Does the patient have HCC at time of visit?","1, Yes | 0, No","This question is repeated in every visit form",,,,y,,y,RH,,,,
visit_hcc_text,visit,,descriptive,"If the patient has an HCC diagnosis, please make sure that the HCC diagnosis and visit questions are filled",,,,,,,"[visit_hcc_y] = '1'",,,,,,
visit_ex_height,visit,"Vital Signs",text,Height,,"in cm",number,0,300,,,,RH,,,,
visit_ex_weight,visit,,text,Weight,,"in kg",number,0,500,,,,RH,,,,
visit_sx_bmi,visit,,calc,BMI,[visit_ex_weight]/[visit_ex_height]/[visit_ex_height]*10000,"This field is calculated no need to enter",,,,,,,RH,,,,
visit_sx_jaun_y,visit,Symptoms,radio,Jaundice,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_jaun_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_jaun_y] = '1'",,RH,,,,
visit_sx_anorx_y,visit,,radio,Anorexia,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_anorx_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_anorx_y] = '1'",,RH,,,,
visit_sx_fever_y,visit,,radio,Fever,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_fever_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_fever_y] = '1'",,RH,,,,
visit_sx_absw_y,visit,,radio,"Abdominal swelling","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_absw_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_absw_y] = '1'",,RH,,,,
visit_sx_abpn_y,visit,,radio,"Abdominal pain","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_abpn_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_abpn_y] = '1'",,RH,,,,
visit_sx_malae_y,visit,,radio,Malaena,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_malae_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_malae_y] = '1'",,RH,,,,
visit_sx_hmchz_y,visit,,radio,Haematochezia,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_hmchz_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_hmchz_y] = '1'",,RH,,,,
visit_sx_vomit_y,visit,,radio,Vomiting,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_vomit_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_vomit_y] = '1'",,RH,,,,
visit_sx_diarr_y,visit,,radio,Diarrhea,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_diarr_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_diarr_y] = '1'",,RH,,,,
visit_sx_decur_y,visit,,radio,"Decreased urine","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_decur_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_decur_y] = '1'",,RH,,,,
visit_sx_irrtk_y,visit,,radio,"Irrational talk","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_irrtk_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_irrtk_y] = '1'",,RH,,,,
visit_sx_altslp_y,visit,,radio,"Altered sleep pattern","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_altslp_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_altslp_y] = '1'",,RH,,,,
visit_sx_hmtem_y,visit,,radio,Haematemesis,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_hmtem_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_hmtem_y] = '1'",,RH,,,,
visit_sx_wtls_y,visit,,radio,"Weight loss","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_wtls_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_wtls_y] = '1'",,RH,,,,
visit_sx_cough_y,visit,,radio,Cough,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_cough_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_cough_y] = '1'",,RH,,,,
visit_sx_skclr_y,visit,,radio,"Change in skin color","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_skclr_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_skclr_y] = '1'",,RH,,,,
visit_sx_weak_y,visit,,radio,Weakness,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_weak_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_weak_y] = '1'",,RH,,,,
visit_sx_breath_y,visit,,radio,"Difficulty in breathing","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_breath_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_breath_y] = '1'",,RH,,,,
visit_sx_lgsw_y,visit,,radio,"Leg swelling","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_lgsw_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_lgsw_y] = '1'",,RH,,,,
visit_sx_restl_y,visit,,radio,Restlessness,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_restl_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_restl_y] = '1'",,RH,,,,
visit_sx_slmen_y,visit,,radio,"Slow mention","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_slmen_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_slmen_y] = '1'",,RH,,,,
visit_sx_conf_y,visit,,radio,Confusion,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_conf_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_conf_y] = '1'",,RH,,,,
visit_sx_memls_y,visit,,radio,"Memory loss","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_sx_memls_m,visit,,radio,"If yes, duration","0, < 1 month | 1, >= 1 month",,,,,,"[visit_sx_memls_y] = '1'",,RH,,,,
visit_hcc_ecog,visit,,radio,"ECOG performance status","0, Fully active, able to carry on all pre-disease performance without restriction | 1, Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office work | 2, Ambulatory and capable of all selfcare but unable to carry out any work activities; up and about more than 50% of waking hours | 3, Capable of only limited selfcare; confined to bed or chair more than 50% of waking hours | 4, Completely disabled; cannot carry on any selfcare; totally confined to bed or chair | 5, Dead",,,,,,,,LV,,,,
visit_rx_cipro_y,visit,"Medications

Current medications (other than HIV, HBV, or HCV). 

If period is unknown just ask for medications in the last month.",radio,Ciprofloxacin,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_cipro_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_cipro_y] = '1'",,RH,,,,
visit_rx_cipro_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_cipro_y] = '1'",,RH,,,,
visit_rx_cipro_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_cipro_y] = '1'",,RH,,,,
visit_rx_metro_y,visit,,radio,Metronidazole,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_metro_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_metro_y] = '1'",,RH,,,,
visit_rx_metro_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_metro_y] = '1'",,RH,,,,
visit_rx_metro_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_metro_y] = '1'",,RH,,,,
visit_rx_lactu_y,visit,,radio,Lactulose,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_lactu_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_lactu_y] = '1'",,RH,,,,
visit_rx_lactu_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_lactu_y] = '1'",,RH,,,,
visit_rx_lactu_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_lactu_y] = '1'",,RH,,,,
visit_rx_alda_y,visit,,radio,Aldactone,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_alda_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_alda_y] = '1'",,RH,,,,
visit_rx_alda_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_alda_y] = '1'",,RH,,,,
visit_rx_alda_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_alda_y] = '1'",,RH,,,,
visit_rx_furo_y,visit,,radio,Furosemide,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_furo_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_furo_y] = '1'",,RH,,,,
visit_rx_furo_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_furo_y] = '1'",,RH,,,,
visit_rx_furo_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_furo_y] = '1'",,RH,,,,
visit_rx_df_y,visit,,radio,DF-118,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_df_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_df_y] = '1'",,RH,,,,
visit_rx_df_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_df_y] = '1'",,RH,,,,
visit_rx_df_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_df_y] = '1'",,RH,,,,
visit_rx_livo_y,visit,,radio,Livolin,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_livo_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_livo_y] = '1'",,RH,,,,
visit_rx_livo_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_livo_y] = '1'",,RH,,,,
visit_rx_livo_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_livo_y] = '1'",,RH,,,,
visit_rx_sily_y,visit,,radio,Silybon,"1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_rx_sily_sd,visit,,text,"Start date",,,date_ymd,,,,"[visit_rx_sily_y] = '1'",,RH,,,,
visit_rx_sily_ed,visit,,text,"End date",,,date_ymd,,,,"[visit_rx_sily_y] = '1'",,RH,,,,
visit_rx_sily_info,visit,,text,"Dose / Units / Route / Frequency / Indication",,,,,,,"[visit_rx_sily_y] = '1'",,RH,,,,
visit_hiv_rx_y,visit,"HIV Treatment",radio,"HIV Treatment?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_hiv_rx_sd,visit,,text,"Start date?",,,date_ymd,,,,"[visit_hiv_rx_y] = '1'",,RH,,,,
visit_hiv_rx_reg,visit,,radio,"Most recent Regimen","1, Tenofovir/lamivudine/efavirenz | 2, Tenofovir/emtricitabine/efavirenz | 99, Other",,,,,,"[visit_hiv_rx_y] = '1'",,,,,,
visit_hiv_rx_reg_oth,visit,,text,"If other",,,,,,,"[visit_hiv_rx_reg] = '99'",,,,,,
visit_hbv_rx_y,visit,"HBV Treatment",radio,"HBV Treatment?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_hbv_rx_sd,visit,,text,"Start date?",,,date_ymd,,,,"[visit_hbv_rx_y] = '1'",,RH,,,,
visit_hbv_rx_reg,visit,,radio,"Most recent Regimen","1, Tenofovir | 2, PEG-IFN | 3, Entecavir | 4, Truvada | 5, Lamuvidine | 6, Tenofovir / Lamuvidine | 99, Other",,,,,,"[visit_hbv_rx_y] = '1'",,,,,,
visit_hbv_rx_reg_oth,visit,,text,"If other",,,,,,,"[visit_hbv_rx_reg] = '99'",,,,,,
visit_hcv_rx_y,visit,"HCV Treatment",radio,"HCV Treatment?","1, Yes | 0, No | 2, Unknown",,,,,,,,RH,,,,
visit_hcv_rx_sd,visit,,text,"Start date?",,,date_ymd,,,,"[visit_hcv_rx_y] = '1'",,RH,,,,
visit_hcv_rx_reg,visit,,radio,"Most Recent Regimen","1, Sofosbuvir/ledipasvir | 2, Sofosbuvir/daclatasvir | 99, Other",,,,,,"[visit_hcv_rx_y] = '1'",,,,,,
visit_hcv_rx_reg_oth,visit,,text,"If other",,,,,,,"[visit_hcv_rx_reg] = '99'",,,,,,
visit_ex_fhair_y,visit,Examination,radio,"Fluffy hair?","1, Yes | 0, No | 2, Not done",,,,,,,,RH,,,,
visit_ex_pale_y,visit,,radio,Pale?,"1, Yes | 0, No | 2, Not done",,,,,,,,RH,,,,
visit_ex_jaundice_y,visit,,radio,Jaundice?,"1, Yes | 0, No | 2, Not done",,,,,,,,RH,,,,
