Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
fzr_loc_pl_aliq3,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
fzr_num_pl_aliq3,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
box_pl_aliq3,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
row_pl_aliq3,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
column_pl_aliq3,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
pl_aliq_4,storage_sample_type_and_aliquots,Blood Plasma - Aliquot 4,text,Plasma Aliquot ID 4,,,,,,,[sample_type(2)] = '1' and [number_cryovials_pl] > 3,,,,,,
process_pl_aliq_4,storage_sample_type_and_aliquots,,yesno,Is the plasma from this aliquot used in DNA extraction?,,,,,,,[sample_type(2)] = '1' and [number_cryovials_pl] > 3,,RH,,,,
vol_pl_aliq_4,storage_sample_type_and_aliquots,,text,Volume (in ml),,,number,,2,,[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [process_pl_aliq_4] = '0',,,,,,
vol_pl_aliq_4_initial,storage_sample_type_and_aliquots,,text,Initial Volume (in ml),,,,,,,[sample_type(2)] = '1' and [process_pl_aliq_4] = '1',,,,,,@Hidden
rem_vol_pl_aliq_4,storage_sample_type_and_aliquots,,text,Remaining Volume(in ml),,,,,,,[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [process_pl_aliq_4] = '1',,,,,,
fzr_loc_pl_aliq4,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
fzr_num_pl_aliq4,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
box_pl_aliq4,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
row_pl_aliq4,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
column_pl_aliq4,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
pl_aliq_5,storage_sample_type_and_aliquots,Blood Plasma - Aliquot 5,text,Plasma Aliquot ID 5,,,,,,,[sample_type(2)] = '1' and [number_cryovials_pl] > 4,,,,,,
process_pl_aliq_5,storage_sample_type_and_aliquots,,yesno,Is the plasma from this aliquot used in DNA extraction?,,,,,,,[sample_type(2)] = '1' and [number_cryovials_pl] > 4,,RH,,,,
vol_pl_aliq_5,storage_sample_type_and_aliquots,,text,Volume (in ml),,,number,,2,,[sample_type(2)] = '1' and [number_cryovials_pl] > 4 and [process_pl_aliq_5] = '0',,,,,,
vol_pl_aliq_5_initial,storage_sample_type_and_aliquots,,text,Initial Volume (in ml),,,,,,,[sample_type(2)] = '1' and [process_pl_aliq_5] = '1',,,,,,@Hidden
rem_vol_pl_aliq_5,storage_sample_type_and_aliquots,,text,Remaining Volume(in ml),,,,,,,[sample_type(2)] = '1' and [number_cryovials_pl] > 4 and [process_pl_aliq_5] = '1',,,,,,
fzr_loc_pl_aliq5,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 4 and [pl_aliq_5]<>""""",,,,,,
fzr_num_pl_aliq5,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 4 and [pl_aliq_5]<>""""",,,,,,
box_pl_aliq5,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 4 and [pl_aliq_5]<>""""",,,,,,
