"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
coll_personnel_oth,visit_sample_collection,,text,"If Other, Please enter the name",,"(FirstName LastName)",,,,,"[coll_personnel] = '6'",,,,,,
tissue_sam_typ,visit_sample_collection,"Tissue Samples",checkbox,"Tissue Sample Collected","1, Tumor Tissue | 2, Normal Tissue",,,,,,,,,,,,
tumor_tissue_num,visit_sample_collection,,dropdown,"Number of Tumor tissue samples","1, 1 | 2, 2 | 3, 3 | 0, None",,,,,,"[tissue_sam_typ(1)] = '1'",,,,,,
normal_tissue_num,visit_sample_collection,,dropdown,"Number of Normal tissue samples","1, 1 | 2, 2 | 3, 3 | 0, None",,,,,,"[tissue_sam_typ(2)] = '1'",,,,,,
coll_date_tissue,visit_sample_collection,,text,"Date of Sample Collection",,,date_ymd,,,,,y,,,,,
coll_time_tissue,visit_sample_collection,,text,"Time of sample collection",,"(hh:mm in 24 hour format)",time,,,,,y,,,,,
coll_personnel_tissue,visit_sample_collection,,dropdown,"Collected by","1, Ayuba | 2, Flavia | 3, Musa Abdullahi | 4, Yakubu | 5, Gei | 6, Other",,,,,,,,,,,,
coll_personnel_tissue_oth,visit_sample_collection,,text,"If Other, Please enter the name",,"(FirstName LastName)",,,,,"[coll_personnel_tissue] = '6'",,,,,,
tumor_type,storage_sample_type_and_aliquots,,text,"Tumor type",,,,,,,,,,,,,
sample_type,storage_sample_type_and_aliquots,,checkbox,"Sample Types","1, Whole Blood | 2, Blood Plasma | 3, Buffy coat | 4, Blood Serum | 5, DNA | 6, PBMC | 7, Tumor Tissue | 8, Normal Tissue | 9, Tumor- Slide (H/E) | 10, Normal - Slide (H/E)","select all that apply",,,,,,,,,,,"7,RNA"
number_cryovials_wb,storage_sample_type_and_aliquots,,text,"Number of Whole Blood Aliquots",,0-4,number,0,4,,"[sample_type(1)] = '1'",,,,,,
number_cryovials_pl,storage_sample_type_and_aliquots,,text,"Number of Blood Plasma Aliquots",,0-25,number,0,25,,"[sample_type(2)] = '1'",,,,,,
number_cryovials_bc,storage_sample_type_and_aliquots,,text,"Number of Buffy Coat Aliquots",,0-5,number,0,5,,"[sample_type(3)] = '1'",,,,,,
number_cryovials_bs,storage_sample_type_and_aliquots,,text,"Number of Blood Serum Aliquots",,0-5,number,0,5,,"[sample_type(4)] = '1'",,,,,,
number_cryovials_dna,storage_sample_type_and_aliquots,,text,"Number of DNA Aliquots",,0-7,number,0,7,,"[sample_type(5)] = '1'",,,,,,
number_cryovials_pbmc,storage_sample_type_and_aliquots,,text,"Number of PBMC Aliquots",,0-4,number,0,4,,"[sample_type(6)] = '1'",,,,,,
number_cryovials_tumor,storage_sample_type_and_aliquots,,text,"Number of Tumor Tissue Aliquots",,0-3,number,0,3,,"[sample_type(7)] = '1'",,,,,,
number_cryovials_normal,storage_sample_type_and_aliquots,,text,"Number of Normal Tissue Aliquots",,0-3,number,0,3,,"[sample_type(8)] = '1'",,,,,,
number_tumor_slide,storage_sample_type_and_aliquots,,text,"Number of Tumor Tissue Slide",,0-3,number,0,3,,"[sample_type(9)] = '1'",,,,,,
number_normal_slide,storage_sample_type_and_aliquots,,text,"Number of Normal Tissue Slide",,0-3,number,0,3,,"[sample_type(10)] = '1'",,,,,,
proc_personnel,storage_sample_type_and_aliquots,Processing,dropdown,"Processed by ","1, Banji Osho | 2, Bukola Olubode | 3, Fatima Onawoga | 4, Godwin | 5, Jonathan | 6, Onawoga Fatima | 7, Tina Nwosu | 8, Gei | 9, Other",,,,,,,,,,,,
proc_personnel_oth,storage_sample_type_and_aliquots,,text,"If Other, Please enter the name",,"(FirstName LastName)",,,,,"[proc_personnel] = '8'",,,,,,
process_date,storage_sample_type_and_aliquots,,text,"Processed Date",,,date_ymd,,,,,,,,,,
process_time_actual,storage_sample_type_and_aliquots,,text,"Processed Actual Time",,"(hh:mm in 24 hour format)",time,00:00,,,,,,,,,
process_time_elapsed,storage_sample_type_and_aliquots,,radio,"Time elapsed between sample collection and sample processing","1, Within 2 hours | 2, Between 2-3 hours | 3, More than 3 hours",,,,,,,,,,,,
process_time_hrs,storage_sample_type_and_aliquots,,text,"If the sample is processed more than three hours after sample collection, please enter the number of hours",,hours,,,,,"[process_time_elapsed] = '3'",,,,,,
misc_notes_process_storage,storage_sample_type_and_aliquots,Comments/Notes,notes,"Processing and Storage  - Notes",,,,,,,,,,,,,
wb_aliq,whole_blood_aliquots,,text,"Whole Blood Aliquot",,,,,,,,,,,,,
wb_vol,whole_blood_aliquots,,text,"Volume (in ml)",,,,,,,,,,,,,
wb_fzr_loc,whole_blood_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,,,,,,,
wb_fzr_num,whole_blood_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,,,,,,,
wb_box,whole_blood_aliquots,,text,"Location - Box",,,,,,,,,,,,,
wb_row,whole_blood_aliquots,,text,"Location - Row",,,,,,,,,,,,,
wb_column,whole_blood_aliquots,,text,"Location - Column",,,,,,,,,,,,,
wb_shipped_y,whole_blood_aliquots,"If this sample is shipped please enter the fields in the section below and Please update the  fields -'Location - Freezer', 'Freezer Number',' Location - Box', 'Location - Row' and 'Location - Column' - if there is a change in location of the aliquot after shipping.",yesno,"Have you shipped any amount of sample from this aliquot?",,,,,,,,,RH,,,,
wb_shipped_thaw,whole_blood_aliquots,,text,"Number of times the sample has been thawed(and refrozen)",,"For ex: 0, 1, 2, 3",,,,,,,,,,,
wb_shipped_num,whole_blood_aliquots,,checkbox,"How many times has this sample from this aliquot has been shipped?","1, Once | 2, Twice | 3, Thrice",,,,,,"[pl_shipped_y] = '1'",,,,,,
wb_vol_ship_1,whole_blood_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(1)] = '1'",,,,,,
wb_rem_vol_ship_1,whole_blood_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(1)] = '1'",,,,,,
wb_vol_ship_2,whole_blood_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(2)] = '1'",,,,,,
wb_rem_vol_ship_2,whole_blood_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(2)] = '1'",,,,,,
wb_vol_ship_3,whole_blood_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(3)] = '1'",,,,,,
wb_rem_vol_ship_3,whole_blood_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(3)] = '1'",,,,,,
wb_misc_comments,whole_blood_aliquots,,notes,"Miscellaneous comments
<i>(For example: Any information related to temperature change/fluctuations during sample storage (to assess sample stability) should be noted.)</i>",,,,,,,,,,,,,
wb_date,whole_blood_aliquots,"Date (has to be updated every time you enter data into this form or every time this form is updated)",text,"Date when the aliquot form was updated 
<li>If this aliquot is not shipped, the date on which the data is entered into this form should be the date.
<li> If this aliquot is shipped, this date should match or should be close to the shipping date of the aliquot.",,,date_ymd,,,,,,,,,,
pl_aliq,blood_plasma_aliquots,,text,"Plasma Aliquot",,,,,,,,,,,,,
pl_process,blood_plasma_aliquots,,yesno,"Is the plasma from this aliquot used in DNA extraction?",,,,,,,,,,,,,
pl_vol,blood_plasma_aliquots,,text,"Volume (in ml)",,,,,,,,,,,,,
pl_initial_vol,blood_plasma_aliquots,,text,"Initial Volume (in ml)",,,,,,,,,,,,,
pl_rem_vol,blood_plasma_aliquots,,text,"Remaining Volume(in ml)",,,,,,,,,,,,,
pl_fzr_loc,blood_plasma_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,,,,,,,
pl_fzr_num,blood_plasma_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,,,,,,,
pl_box,blood_plasma_aliquots,,text,"Location - Box",,,,,,,,,,,,,
pl_row,blood_plasma_aliquots,,text,"Location - Row",,,,,,,,,,,,,
pl_column,blood_plasma_aliquots,,text,"Location - Column",,,,,,,,,,,,,
pl_shipped_y,blood_plasma_aliquots,"If this sample is shipped please enter the fields in the section below and Please update the  fields -'Location - Freezer', 'Freezer Number',' Location - Box', 'Location - Row' and 'Location - Column' - if there is a change in location of the aliquot after shipping.",yesno,"Have you shipped any amount of sample from this aliquot?",,,,,,,,,RH,,,,
pl_shipped_thaw,blood_plasma_aliquots,,text,"Number of times the sample has been thawed(and refrozen)",,"For ex: 0, 1, 2, 3",,,,,,,,,,,
pl_shipped_num,blood_plasma_aliquots,,checkbox,"How many times has this sample from this aliquot has been shipped?","1, Once | 2, Twice | 3, Thrice",,,,,,"[pl_shipped_y] = '1'",,,,,,
pl_vol_ship_1,blood_plasma_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(1)] = '1'",,,,,,
pl_rem_vol_ship_1,blood_plasma_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(1)] = '1'",,,,,,
pl_vol_ship_2,blood_plasma_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(2)] = '1'",,,,,,
pl_rem_vol_ship_2,blood_plasma_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(2)] = '1'",,,,,,
pl_vol_ship_3,blood_plasma_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(3)] = '1'",,,,,,
pl_rem_vol_ship_3,blood_plasma_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pl_shipped_y] = '1' and [pl_shipped_num(3)] = '1'",,,,,,
pl_misc_comments,blood_plasma_aliquots,,notes,"Miscellaneous comments
<i>(For example: Any information related to temperature change/fluctuations during sample storage (to assess sample stability) should be noted.)</i>",,,,,,,,,,,,,
pl_date,blood_plasma_aliquots,"Date (has to be updated every time you enter data into this form or every time this form is updated)",text,"Date when the aliquot form was updated 
<li>If this aliquot is not shipped, the date on which the data is entered into this form should be the date.
<li> If this aliquot is shipped, this date should match or should be close to the shipping date of the aliquot.",,,date_ymd,,,,,,,,,,
bc_aliq,buffy_coat_aliquots,,text,"Buffy Coat Aliquot ID",,,,,,,,,,,,,
bc_vol,buffy_coat_aliquots,,text,"Volume(in ml)",,,,,,,,,,,,,
bc_fzr_loc,buffy_coat_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,,,,,,,
bc_fzr_num,buffy_coat_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,,,,,,,
bc_box,buffy_coat_aliquots,,text,"Location - Box",,,,,,,,,,,,,
bc_row,buffy_coat_aliquots,,text,"Location - Row",,,,,,,,,,,,,
bc_column,buffy_coat_aliquots,,text,"Location - Column",,,,,,,,,,,,,
bc_shipped_y,buffy_coat_aliquots,"If this sample is shipped please enter the fields in the section below and Please update the  fields -'Location - Freezer', 'Freezer Number',' Location - Box', 'Location - Row' and 'Location - Column' - if there is a change in location of the aliquot after shipping.",yesno,"Have you shipped any amount of sample from this aliquot?",,,,,,,,,RH,,,,
bc_shipped_thaw,buffy_coat_aliquots,,text,"Number of times the sample has been thawed(and refrozen)",,"For ex: 0, 1, 2, 3",,,,,,,,,,,
bc_shipped_num,buffy_coat_aliquots,,checkbox,"How many times has this sample from this aliquot has been shipped?","1, Once | 2, Twice | 3, Thrice",,,,,,"[bc_shipped_y] = '1'",,,,,,
bc_vol_ship_1,buffy_coat_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[bc_shipped_y] = '1' and [bc_shipped_num(1)] = '1'",,,,,,
bc_rem_vol_ship_1,buffy_coat_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[bc_shipped_y]= '1' and [bc_shipped_num(1)] = '1'",,,,,,
bc_vol_ship_2,buffy_coat_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[bc_shipped_y] = '1' and [bc_shipped_num(2)] = '1'",,,,,,
bc_rem_vol_ship_2,buffy_coat_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[bc_shipped_y] = '1' and [bc_shipped_num(2)] = '1'",,,,,,
bc_vol_ship_3,buffy_coat_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[bc_shipped_y] = '1' and [bc_shipped_num(3)] = '1'",,,,,,
bc_rem_vol_ship_3,buffy_coat_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[bc_shipped_y] = '1' and [bc_shipped_num(3)] = '1'",,,,,,
bc_misc_comments,buffy_coat_aliquots,,notes,"Miscellaneous comments
<i>(For example: Any information related to temperature change/fluctuations during sample storage (to assess sample stability) should be noted.)</i>",,,,,,,,,,,,,
bc_date,buffy_coat_aliquots,"Date (has to be updated every time you enter data into this form or every time this form is updated)",text,"Date when the aliquot form was updated 
<li>If this aliquot is not shipped, the date on which the data is entered into this form should be the date.
<li> If this aliquot is shipped, this date should match or should be close to the shipping date of the aliquot.",,,date_ymd,,,,,,,,,,
bs_aliq,blood_serum_aliquots,,text,"Blood Serum Aliquot ID",,,,,,,,,,,,,
bs_vol,blood_serum_aliquots,,text,"Volume(in ml)",,,,,,,,,,,,,
bs_fzr_loc,blood_serum_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,,,,,,,
bs_fzr_num,blood_serum_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,,,,,,,
bs_box,blood_serum_aliquots,,text,"Location - Box",,,,,,,,,,,,,
bs_row,blood_serum_aliquots,,text,"Location - Row",,,,,,,,,,,,,
bs_column,blood_serum_aliquots,,text,"Location - Column",,,,,,,,,,,,,
bs_shipped_y,blood_serum_aliquots,"If this sample is shipped please enter the fields in the section below and Please update the  fields -'Location - Freezer', 'Freezer Number',' Location - Box', 'Location - Row' and 'Location - Column' - if there is a change in location of the aliquot after shipping.",yesno,"Have you shipped any amount of sample from this aliquot?",,,,,,,,,RH,,,,
bs_shipped_thaw,blood_serum_aliquots,,text,"Number of times the sample has been thawed(and refrozen)",,"For ex: 0, 1, 2, 3",,,,,,,,,,,
bs_shipped_num,blood_serum_aliquots,,checkbox,"How many times has this sample from this aliquot has been shipped?","1, Once | 2, Twice | 3, Thrice",,,,,,"[bs_shipped_y] = '1'",,,,,,
bs_vol_ship_1,blood_serum_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[bs_shipped_y] = '1' and [bs_shipped_num(1)] = '1'",,,,,,
bs_rem_vol_ship_1,blood_serum_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[bs_shipped_y]= '1' and [bs_shipped_num(1)] = '1'",,,,,,
bs_vol_ship_2,blood_serum_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[bs_shipped_y] = '1' and [bs_shipped_num(2)] = '1'",,,,,,
bs_rem_vol_ship_2,blood_serum_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[bs_shipped_y] = '1' and [bs_shipped_num(2)] = '1'",,,,,,
bs_vol_ship_3,blood_serum_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[bs_shipped_y] = '1' and [bs_shipped_num(3)] = '1'",,,,,,
bs_rem_vol_ship_3,blood_serum_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[bs_shipped_y] = '1' and [bs_shipped_num(3)] = '1'",,,,,,
bs_misc_comments,blood_serum_aliquots,,notes,"Miscellaneous comments
<i>(For example: Any information related to temperature change/fluctuations during sample storage (to assess sample stability) should be noted.)</i>",,,,,,,,,,,,,
bs_date,blood_serum_aliquots,"Date (has to be updated every time you enter data into this form or every time this form is updated)",text,"Date when the aliquot form was updated 
<li>If this aliquot is not shipped, the date on which the data is entered into this form should be the date.
<li> If this aliquot is shipped, this date should match or should be close to the shipping date of the aliquot.",,,date_ymd,,,,,,,,,,
dna_aliq,dna_aliquots,,text,"DNA Aliquot ID",,,,,,,,,,,,,
dna_ratio_od,dna_aliquots,,text,OD260/OD280,,,,,,,,,,,,,
dna_quant_aliq,dna_aliquots,,yesno,"Is DNA quantification done on this sample?",,,,,,,,,,,,,
dna_quant_g_aliq,dna_aliquots,,text,"If Yes, how much?",,,,,,,,,,,,,
dna_vol,dna_aliquots,,text,"Volume(in microliters)",,,,,,,,,,,,,
dna_fzr_loc,dna_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,,,,,,,
dna_fzr_num,dna_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,,,,,,,
dna_box,dna_aliquots,,text,"Location - Box",,,,,,,,,,,,,
dna_row,dna_aliquots,,text,"Location - Row",,,,,,,,,,,,,
dna_column,dna_aliquots,,text,"Location - Column",,,,,,,,,,,,,
dna_shipped_y,dna_aliquots,"If this sample is shipped please enter the fields in the section below and Please update the  fields -'Location - Freezer', 'Freezer Number',' Location - Box', 'Location - Row' and 'Location - Column' - if there is a change in location of the aliquot after shipping.",yesno,"Have you shipped any amount of sample from this aliquot?",,,,,,,,,RH,,,,
dna_shipped_thaw,dna_aliquots,,text,"Number of times the sample has been thawed(and refrozen)",,"For ex: 0, 1, 2, 3",,,,,,,,,,,
dna_shipped_num,dna_aliquots,,checkbox,"How many times has this sample from this aliquot has been shipped?","1, Once | 2, Twice | 3, Thrice",,,,,,"[dna_shipped_y] = '1'",,,,,,
dna_vol_ship_1,dna_aliquots,,text,"Volume Shipped(in microliters)",,,,,,,"[dna_shipped_y] = '1' and [dna_shipped_num(1)] = '1'",,,,,,
dna_rem_vol_ship_1,dna_aliquots,,text,"Remaining volume after shipping(in microliters)",,,,,,,"[dna_shipped_y]= '1' and [dna_shipped_num(1)] = '1'",,,,,,
dna_vol_ship_2,dna_aliquots,,text,"Volume Shipped(in microliters)",,,,,,,"[dna_shipped_y] = '1' and [dna_shipped_num(2)] = '1'",,,,,,
dna_rem_vol_ship_2,dna_aliquots,,text,"Remaining volume after shipping(in microliters)",,,,,,,"[dna_shipped_y] = '1' and [dna_shipped_num(2)] = '1'",,,,,,
dna_vol_ship_3,dna_aliquots,,text,"Volume Shipped(in microliters)",,,,,,,"[dna_shipped_y] = '1' and [dna_shipped_num(3)] = '1'",,,,,,
dna_rem_vol_ship_3,dna_aliquots,,text,"Remaining volume after shipping(in microliters)",,,,,,,"[dna_shipped_y] = '1' and [dna_shipped_num(3)] = '1'",,,,,,
dna_misc_comments,dna_aliquots,,notes,"Miscellaneous comments
<i>(For example: Any information related to temperature change/fluctuations during sample storage (to assess sample stability) should be noted.)</i>",,,,,,,,,,,,,
dna_date,dna_aliquots,"Date (has to be updated every time you enter data into this form or every time this form is updated)",text,"Date when the aliquot form was updated 
<li>If this aliquot is not shipped, the date on which the data is entered into this form should be the date.
<li> If this aliquot is shipped, this date should match or should be close to the shipping date of the aliquot.",,,,,,,,,,,,,
pbmc_aliq,pbmc_aliquots,,text,"PBMC Aliquot ID",,,,,,,,,,,,,
pbmc_vol,pbmc_aliquots,,text,"Volume (in ml)",,,,,,,,,,,,,
pbmc_fzr_loc,pbmc_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,,,,,,,
pbmc_fzr_num,pbmc_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,,,,,,,
pbmc_box,pbmc_aliquots,,text,"Location - Box",,,,,,,,,,,,,
pbmc_row,pbmc_aliquots,,text,"Location - Row",,,,,,,,,,,,,
pbmc_column,pbmc_aliquots,,text,"Location - Column",,,,,,,,,,,,,
pbmc_shipped_y,pbmc_aliquots,"If this sample is shipped please enter the fields in the section below and Please update the  fields -'Location - Freezer', 'Freezer Number',' Location - Box', 'Location - Row' and 'Location - Column' - if there is a change in location of the aliquot after shipping.",yesno,"Have you shipped any amount of sample from this aliquot?",,,,,,,,,RH,,,,
pbmc_shipped_thaw,pbmc_aliquots,,text,"Number of times the sample has been thawed(and refrozen)",,"For ex: 0, 1, 2, 3",,,,,,,,,,,
pbmc_shipped_num,pbmc_aliquots,,checkbox,"How many times has this sample from this aliquot has been shipped?","1, Once | 2, Twice | 3, Thrice",,,,,,"[pbmc_shipped_y] = '1'",,,,,,
pbmc_vol_ship_1,pbmc_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pbmc_shipped_y] = '1' and [pbmc_shipped_num(1)] = '1'",,,,,,
pbmc_rem_vol_ship_1,pbmc_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pbmc_shipped_y]= '1' and [pbmc_shipped_num(1)] = '1'",,,,,,
pbmc_vol_ship_2,pbmc_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pbmc_shipped_y] = '1' and [pbmc_shipped_num(2)] = '1'",,,,,,
pbmc_rem_vol_ship_2,pbmc_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pbmc_shipped_y] = '1' and [pbmc_shipped_num(2)] = '1'",,,,,,
pbmc_vol_ship_3,pbmc_aliquots,,text,"Volume Shipped(in ml)",,,,,,,"[pbmc_shipped_y] = '1' and [pbmc_shipped_num(3)] = '1'",,,,,,
pbmc_rem_vol_ship_3,pbmc_aliquots,,text,"Remaining volume after shipping(in ml)",,,,,,,"[pbmc_shipped_y] = '1' and [pbmc_shipped_num(3)] = '1'",,,,,,
pbmc_misc_comments,pbmc_aliquots,,notes,"Miscellaneous comments
<i>(For example: Any information related to temperature change/fluctuations during sample storage (to assess sample stability) should be noted.)</i>",,,,,,,,,,,,,
pbmc_date,pbmc_aliquots,"Date (has to be updated every time you enter data into this form or every time this form is updated)",text,"Date when the aliquot form was updated 
<li>If this aliquot is not shipped, the date on which the data is entered into this form should be the date.
<li> If this aliquot is shipped, this date should match or should be close to the shipping date of the aliquot.",,,date_ymd,,,,,,,,,,
tumor_tiss_aliq,tumor_tissue,,text,"Tumor tissue Aliquot ID",,,,,,,,,,,,,
tumor_tiss_size,tumor_tissue,,text,"Net Weight",,"(in mg)",,,,,,,,,,,
tumor_tiss_dna_y,tumor_tissue,,yesno,"Is DNA extracted from this aliquot?",,,,,,,,,,,,,
